no,name,apt_id,lon,lat,dist,url
6612,락앤락샛별어린이집,1165010834,127.0183524,37.48766705,355.0376588,
6613,자연의아이들어린이집,1165010834,127.0271257,37.4865758,628.8126118,
6621,푸르니작은어린이집,1165010839,127.0211995,37.48821043,291.5403254,
6622,푸르니서초어린이집,1165010839,127.0237949,37.4874097,486.7215277,
6623,서초연꽃어린이집,1165010839,127.0169677,37.49190681,312.0871773,
6624,서초아이자람어린이집,1165010839,127.0222237,37.48900777,262.1661186,
6625,락앤락샛별어린이집,1165010839,127.0183524,37.48766705,372.8706076,
6629,성촌어린이집,1165010305,127.0206325,37.46717936,419.4358686,
6634,푸르니작은어린이집,1165010828,127.0211995,37.48821043,577.338986,
6635,서초연꽃어린이집,1165010828,127.0169677,37.49190681,282.0195471,
6636,서초아이자람어린이집,1165010828,127.0222237,37.48900777,524.1022238,
6637,락앤락샛별어린이집,1165010828,127.0183524,37.48766705,632.0897294,
6638,서초연꽃어린이집,1165010826,127.0169677,37.49190681,599.1600999,
6735,서초연꽃어린이집,1165010832,127.0169677,37.49190681,488.584446,
6747,반포1동어린이집,1165010636,127.0184581,37.5099671,144.0787347,
6748,잠원꿈밭어린이집,1165010636,127.0165669,37.51371803,309.7321987,
6781,서울시인재개발원쑥쑥어린이집,1165010807,127.0208536,37.4803762,465.4378302,
6782,푸르니작은어린이집,1165010807,127.0211995,37.48821043,550.4186396,
6783,푸르니서초어린이집,1165010807,127.0237949,37.4874097,637.7518352,
6784,서초아이자람어린이집,1165010807,127.0222237,37.48900777,673.3366989,
6785,락앤락샛별어린이집,1165010807,127.0183524,37.48766705,415.5555416,
6813,서초연꽃어린이집,1165010823,127.0169677,37.49190681,254.0334696,
6826,서울시인재개발원쑥쑥어린이집,1165010829,127.0208536,37.4803762,508.0406956,
6827,푸르니작은어린이집,1165010829,127.0211995,37.48821043,580.8756566,
6828,푸르니서초어린이집,1165010829,127.0237949,37.4874097,687.1448797,
6829,락앤락샛별어린이집,1165010829,127.0183524,37.48766705,418.5072561,
6857,서초연꽃어린이집,1165010821,127.0169677,37.49190681,510.8250463,
6867,서울시인재개발원쑥쑥어린이집,1165010810,127.0208536,37.4803762,583.7540178,
6868,푸르니작은어린이집,1165010810,127.0211995,37.48821043,545.3136224,
6869,푸르니서초어린이집,1165010810,127.0237949,37.4874097,677.4431516,
6870,서초아이자람어린이집,1165010810,127.0222237,37.48900777,671.8090836,
6871,락앤락샛별어린이집,1165010810,127.0183524,37.48766705,358.1864643,
6872,푸르니작은어린이집,1165010825,127.0211995,37.48821043,389.6376141,
6873,푸르니서초어린이집,1165010825,127.0237949,37.4874097,608.4971768,
6874,서초연꽃어린이집,1165010825,127.0169677,37.49190681,500.3646962,
6875,서초아이자람어린이집,1165010825,127.0222237,37.48900777,502.4408624,
6876,락앤락샛별어린이집,1165010825,127.0183524,37.48766705,130.8181324,
6894,서울시인재개발원쑥쑥어린이집,1165010851,127.0208536,37.4803762,517.6966778,
6895,푸르니작은어린이집,1165010851,127.0211995,37.48821043,654.9207105,
6896,락앤락샛별어린이집,1165010851,127.0183524,37.48766705,478.8591589,
6904,반포1동어린이집,1165010637,127.0184581,37.5099671,334.2431206,
6905,잠원꿈밭어린이집,1165010637,127.0165669,37.51371803,132.8212257,
6906,베베어린이집,1165010608,127.0126357,37.51966885,341.6913342,
6907,구립서초사랑어린이집,1165010608,127.0148142,37.5205341,147.0569451,
6908,가로수어린이집,1165010608,127.023538,37.52249852,675.8783893,
6948,잠원꿈밭어린이집,1165010609,127.0165669,37.51371803,577.2445095,
6949,베베어린이집,1165010609,127.0126357,37.51966885,306.5248224,
6950,구립서초사랑어린이집,1165010609,127.0148142,37.5205341,208.0536053,
6978,서초성모어린이집,1165010817,127.0094985,37.50104285,617.2401409,
6992,바름이어린이집,1165010827,127.0089442,37.49412713,577.0009515,
6993,서초연꽃어린이집,1165010827,127.0169677,37.49190681,215.8740512,
6994,락앤락샛별어린이집,1165010827,127.0183524,37.48766705,687.6532174,
7000,베베어린이집,1165010605,127.0126357,37.51966885,289.2943163,
7001,구립서초사랑어린이집,1165010605,127.0148142,37.5205341,93.71595948,
